Vessel,Ware,VesType,Rim Style,RimDiameter,RimWidth,Rim Height,Body Thickness at Rim,Body Thickness 1cm Below Rim,Body Thickness 2cm Below Rim
NS243,Coarse Earthenware,Crock,Squarred,20,10,10,7,6,6
SHV044,Coarse Earthenware,Crock,Rolled,32,15,25,7,7,6
NS262,Coarse Earthenware,Crock,Squarred,9,11,14,7,7,6
MH345,Coarse Earthenware,Crock,Squarred,11,21,15,9,7,6
NS270,Stoneware,Crock,Squarred,20,19,8,11,8,6
NS233,Coarse Earthenware,Crock,Squarred,8,8,13,4,4,5
SHV135,Coarse Earthenware,Crock,Rolled,18,17,8,7,6,5
1.13,Coarse Earthenware,Crock,Rolled,22,18,14,6,4,4
MH353,Coarse Earthenware,Crock,Rolled,16,6,14,6,5,4
NS264,Coarse Earthenware,Crock,Rolled,16,18,13,7,4,3
1.15,Coarse Earthenware,Crock,Rolled,16,16,10,6,4,
SHV046,Coarse Earthenware,Crock,Squarred,20,8,39,5,5,
3.04,Coarse Earthenware,Crock,Rolled,18,15,16,8,5,
NS261,Coarse Earthenware,Crock,Squarred,16,11,25,7,6,
BGC008,Coarse Earthenware,Crock,Squarred,22,,19,7,6,
1.15,Coarse Earthenware,Crock,Squarred,22,19,13,9,6,
MH407,Coarse Earthenware,Crock,Squarred,20,20,13,10,7,
BGC007,Coarse Earthenware,Crock,Squarred,16,13,19,10,8,
SAV072,Stoneware,Crock,Squarred,14,11,12,9,9,
MH367,Coarse Earthenware,Crock,Squarred,16,16,15,11,9,
MH468,Stoneware,Crock,Squarred,16,15,13,13,12,
MH479,Stoneware,Crock or Jar,Squarred,16,13,17,12,12,11
MH414,Stoneware,Crock or Jar,Rolled,20,7,18,12,9,9
SHV065,Coarse Earthenware,Crock or Jar,Rolled,24,17,25,11,10,9
SAV041,Coarse Earthenware,Crock or Jar,Squarred,18,15,20,11,10,9
SHV196,Stoneware,Crock or Jar,Squarred,18,14,15,11,11,9
SAV073,Stoneware,Crock or Jar,Squarred,16,12,17,9,8,8
SHV148,Coarse Earthenware,Crock or Jar,Rolled,20,15,16,7,7,7
NS275,Stoneware,Crock or Jar,Rolled,14,18,18,9,7,7
NS266,Coarse Earthenware,Crock or Jar,Squarred,12,13,14,8,7,7
NS265,Coarse Earthenware,Crock or Jar,Rolled,20,16,26,10,8,7
NS231,Coarse Earthenware,Crock or Jar,Rolled,26,12,18,8,8,7
SAV029,Coarse Earthenware,Crock or Jar,Squarred,20,22,9,9,8,7
MH397,Coarse Earthenware,Crock or Jar,Squarred,20,19,14,10,8,7
