Vessel,Ware,VesType,Rim Style,RimDiameter
SHV095,Coarse Earthenware,Crock or Jar,Rolled,22
SHV101,Coarse Earthenware,Crock or Jar,Rolled,24
NS250,Coarse Earthenware,Crock or Jar,Rolled,14
SHV126,Coarse Earthenware,Crock or Jar,Rolled,16
NS255,Coarse Earthenware,Crock or Jar,Squarred,12
SHV139,Coarse Earthenware,Crock or Jar,Squarred,14
BGC033,Coarse Earthenware,Crock or Jar,Squarred,16
SHV075,Coarse Earthenware,Crock or Jar,Squarred,20
SHV064,Coarse Earthenware,Crock or Jar,Rolled,18
SHV074,Coarse Earthenware,Crock or Jar,Squarred,14
SAV035,Coarse Earthenware,Crock or Jar,Squarred,20
MH382,Coarse Earthenware,Crock or Jar,Squarred,18
MH400,Coarse Earthenware,Crock or Jar,Squarred,22
SHV156,Coarse Earthenware,Crock or Jar,Rolled,22
SHV112,Coarse Earthenware,Crock or Jar,Rolled,22
SAV045,Coarse Earthenware,Crock or Jar,Squarred,14
MH376,Coarse Earthenware,Crock or Jar,Squarred,14
MH497,Stoneware,Crock or Jar,Squarred,16
MH402,Coarse Earthenware,Crock or Jar,Squarred,18
MH380,Coarse Earthenware,Crock or Jar,Squarred,22
MH388,Coarse Earthenware,Crock or Jar,Squarred,22
MH381,Coarse Earthenware,Crock or Jar,Squarred,24
SHV145,Coarse Earthenware,Crock or Jar,Rolled,20
BGA052,Coarse Earthenware,Crock or Jar,Squarred,20
MH359,Coarse Earthenware,Crock or Jar,Rolled,16
MH451,Stoneware,Crock or Jar,Rolled,16
NS245,Coarse Earthenware,Crock or Jar,Squarred,16
MH403,Coarse Earthenware,Crock or Jar,Rolled,16
MH484,Stoneware,Jar,Squarred,20
MH413,Stoneware,Jar,Squarred,16
NS237,Coarse Earthenware,Jar,Rolled,18
SQ004,Stoneware,Jar,Squarred,18
BGA059,Stoneware,Jar,Rolled,8
NS236,Coarse Earthenware,Jar,Rolled,18
NS248,Coarse Earthenware,Jar,Rolled,20
NS293,Stoneware,Jar,Squarred,13
NS297,Stoneware,Jar,Squarred,14
NS298,Stoneware,Jar,Squarred,15
NS267,Stoneware,Jar,Squarred,16
NS234,Coarse Earthenware,Jar,Squarred,22
NS299,Stoneware,Jar,Rolled,14
BGA019,Coarse Earthenware,Jar,Rolled,18
NS230,Coarse Earthenware,Jar,Rolled,18
NS269,Stoneware,Jar,Rolled,11
MH443,Stoneware,Jar,Rolled,11
MH406,Coarse Earthenware,Jar,Rolled,15
SHV107,Coarse Earthenware,Jar,Rolled,12
NS249,Coarse Earthenware,Jar,Rolled,22
SHV029,Coarse Earthenware,Jar,Squarred,14
SHV100,Coarse Earthenware,Jar,Rolled,12
SHV097,Coarse Earthenware,Jar,Rolled,20
NS235,Coarse Earthenware,Jar,Rolled,18
NS247,Coarse Earthenware,Jar,Squarred,14
SHV041,Coarse Earthenware,Jar,Rolled,12
SHV045,Coarse Earthenware,Jar,Rolled,8
SHV105,Coarse Earthenware,Jar,Rolled,14
NS239,Coarse Earthenware,Jar,Squarred,10
SHV027,Coarse Earthenware,Jar,Rolled,6
MH466,Stoneware,Jar,Squarred,14
MH465,Stoneware,Jar,Squarred,14
